Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Jos,BE69771770897312,BE93287762060534,Thu Feb 20 03:28:49 CET 2020,4274.76,EUR,Nostrum ducimus error dolore amet.
Jos,BE69771770897312,BE71280879684144,Wed Feb 05 18:49:03 CET 2020,-3046.99,EUR,Aut eligendi fugit.
Jos,BE69771770897312,BE87972646868088,Thu Feb 06 05:02:49 CET 2020,-4340.92,EUR,Ut omnis sequi nesciunt voluptatem.
Jos,BE69771770897312,BE30609248841859,Mon Feb 03 23:21:38 CET 2020,428.28,EUR,Modi amet impedit ex id facere.
Jos,BE69771770897312,BE14727379050935,Wed Feb 19 02:59:43 CET 2020,-3651.64,EUR,Quod ut perspiciatis.
Jos,BE69771770897312,BE03340075978673,Sat Feb 22 23:20:35 CET 2020,-1776.39,EUR,Praesentium consequatur maxime eum rerum accusamus.
Jos,BE69771770897312,BE87169842801634,Tue Feb 11 17:08:55 CET 2020,860.81,EUR,Voluptate nobis maiores cumque quas ut aut.
Jos,BE69771770897312,BE81733656156700,Mon Feb 17 18:56:08 CET 2020,-712.27,EUR,Ab magnam qui voluptas.
Jos,BE69771770897312,BE72300009532142,Fri Feb 07 04:46:22 CET 2020,3497.59,EUR,Voluptates quo exercitationem et illum rerum temporibus et.
Jos,BE69771770897312,BE39124804359921,Mon Feb 24 21:32:32 CET 2020,-4310.71,EUR,Sed qui sit id.
Jos,BE69771770897312,BE70767942325627,Mon Feb 24 01:52:12 CET 2020,-4465.24,EUR,Unde ab nemo vel molestiae.
Jos,BE69771770897312,BE95105240380219,Tue Feb 18 09:02:05 CET 2020,3322.06,EUR,Aut maiores sit iste impedit qui excepturi officiis.
Jos,BE69771770897312,BE14357422245684,Sat Feb 22 14:51:20 CET 2020,3474.35,EUR,Enim cumque voluptatem.
Jos,BE69771770897312,BE25933265029836,Sun Feb 23 10:55:52 CET 2020,-854.26,EUR,Est aut eius.
Jos,BE69771770897312,BE15257802659204,Tue Feb 25 07:13:10 CET 2020,320.41,EUR,Laboriosam dolorem excepturi.
Jos,BE69771770897312,BE73901679725915,Fri Feb 21 18:28:00 CET 2020,-3597.33,EUR,Consequuntur quas eum qui non.
Jos,BE69771770897312,BE12731703794225,Mon Feb 24 17:08:37 CET 2020,-3595.58,EUR,Corporis odio numquam reprehenderit facilis dolores est.
Jos,BE69771770897312,BE31503855189729,Sun Feb 23 23:31:03 CET 2020,-2590.3,EUR,Vero sint beatae quia.
Jos,BE69771770897312,BE90940945514759,Mon Feb 24 00:27:39 CET 2020,-4587.44,EUR,Cupiditate libero rerum qui quas dolor.
Jos,BE69771770897312,BE54676383596884,Sun Feb 02 08:47:06 CET 2020,4650.01,EUR,Et sit adipisci at.
Jos,BE69771770897312,BE36837856338791,Sun Feb 23 10:02:17 CET 2020,-2340.54,EUR,Officia sequi optio numquam.
